event,type,date
+5xp,xp,2023-05-24 14:09:32.805866390 +02:00
+5xp,xp,2023-05-24 14:09:32.812910318 +02:00
task master done,cmd,2023-05-24 14:09:32.821257959 +02:00
+5xp,xp,2023-05-24 14:15:33.930663740 +02:00
+5xp,xp,2023-05-24 14:15:33.937681898 +02:00
task master done,cmd,2023-05-24 14:15:33.944842412 +02:00
+5xp,xp,2023-05-24 14:20:44.650565291 +02:00
+5xp,xp,2023-05-24 14:20:44.657428707 +02:00
task master done,cmd,2023-05-24 14:20:44.666029992 +02:00
+5xp,xp,2023-05-24 14:28:48.291785698 +02:00
+5xp,xp,2023-05-24 14:28:55.477074627 +02:00
+5xp,xp,2023-05-24 14:28:55.484045227 +02:00
task master done,cmd,2023-05-24 14:28:55.493913358 +02:00
+5xp,xp,2023-05-24 14:32:32.019781933 +02:00
+5xp,xp,2023-05-24 14:32:32.026715291 +02:00
task master done,cmd,2023-05-24 14:32:32.034124099 +02:00
+5xp,xp,2023-05-24 14:34:04.705865120 +02:00
+5xp,xp,2023-05-24 14:34:04.712704134 +02:00
task master done,cmd,2023-05-24 14:34:04.721327328 +02:00
profile,cmd,2023-05-24 14:34:13.160325417 +02:00
show,cmd,2023-05-24 14:34:33.000757116 +02:00
show tags -,cmd,2023-05-24 14:34:47.350103945 +02:00
show,cmd,2023-05-24 14:35:33.904737289 +02:00
task mail_maman,cmd,2023-05-24 14:35:49.421817333 +02:00
+40xp,xp,2023-05-24 14:35:54.862790419 +02:00
task mail_maman done,cmd,2023-05-24 14:35:54.871201880 +02:00
pause,log,2023-05-24 14:38:54.514334301 +02:00
+5xp,xp,2023-05-24 14:50:34.069230639 +02:00
+5xp,xp,2023-05-24 14:50:34.076002548 +02:00
task master done,cmd,2023-05-24 14:50:34.082586564 +02:00
+5xp,xp,2023-05-24 14:55:50.002279606 +02:00
+5xp,xp,2023-05-24 14:55:50.008928795 +02:00
task master done,cmd,2023-05-24 14:55:50.014883433 +02:00
+5xp,xp,2023-05-24 15:01:22.334658582 +02:00
+5xp,xp,2023-05-24 15:01:22.342064052 +02:00
task master done,cmd,2023-05-24 15:01:22.345149590 +02:00
+5xp,xp,2023-05-24 15:17:19.463290307 +02:00
+5xp,xp,2023-05-24 15:17:21.624522380 +02:00
